iter,step,seg,loss,gn_cum,indep_gn
1,12,cq,2.6104,43.7757,28.0714
1,12,ans_final,1.5283,43.9595,4.2940
1,12,ans_first,1.8654,44.8464,8.4156
1,12,cq,3.1093,56.7835,23.7496
1,12,ans_final,1.4479,56.8982,7.1321
1,12,ans_first,1.6396,56.9797,4.0736
1,12,cq,2.2473,69.1105,24.4909
1,12,ans_final,1.5758,69.1336,4.6853
1,12,ans_first,1.8407,69.1888,5.5830
1,12,cq,2.4911,77.4401,23.8689
1,12,ans_final,1.6182,77.6857,3.9350
1,12,ans_first,1.6773,77.9110,5.2625
1,12,cq,2.7932,83.9761,19.9155
1,12,ans_final,1.2399,84.2738,4.3458
1,12,ans_first,1.5839,84.4701,4.0870
1,12,cq,1.8438,90.0631,15.1790
1,12,ans_final,1.5165,90.2402,3.7865
1,13,ans_first,1.9941,6.0440,6.0440
1,13,cq,1.2882,20.0561,19.1800
1,13,ans_final,1.7910,20.7108,4.9354
1,13,ans_first,1.8162,22.0279,7.5189
1,13,cq,2.8281,37.3101,27.0901
1,13,ans_final,1.6829,37.6013,4.3587
1,13,ans_first,1.3713,37.7262,4.5532
1,13,cq,1.4340,40.9926,15.2522
1,13,ans_final,1.3327,41.3940,4.4679
1,13,ans_first,1.5568,41.5446,4.8314
1,13,cq,0.7037,49.4454,16.1781
1,13,ans_final,1.8297,49.8501,5.4541
1,13,ans_first,1.4409,50.0893,4.0352
1,13,cq,1.2686,53.8744,14.6685
1,13,ans_final,1.5432,54.5753,5.1144
1,13,ans_first,1.7259,54.8180,6.8082
1,13,cq,1.1507,60.0771,14.6010
1,13,ans_final,1.6478,60.4952,3.9324
1,13,ans_first,2.3205,60.9897,6.4470
1,13,cq,2.2734,67.7648,17.2446
1,13,ans_final,1.5671,68.2716,5.6769
1,13,ans_first,1.8407,68.5294,7.4341
1,13,cq,2.1604,79.0467,22.0976
1,13,ans_final,1.4446,79.3569,4.8255
1,14,ans_first,1.8510,5.8873,5.8873
1,14,cq,1.5927,15.0135,13.7353
1,14,ans_final,1.6015,15.8728,4.4094
1,14,ans_first,2.2110,18.8633,10.3374
1,14,cq,2.7061,33.3255,26.1719
1,14,ans_final,1.3106,33.9502,5.0902
1,14,ans_first,2.0584,34.8802,7.3506
1,14,cq,2.3447,45.5103,26.6212
1,14,ans_final,1.5802,45.8485,4.7033
1,14,ans_first,1.9424,46.4985,6.3884
1,14,cq,1.1763,49.4846,12.0483
1,14,ans_final,1.3371,49.8980,4.5378
1,14,ans_first,2.2805,49.9831,6.4444
1,14,cq,2.7859,56.2094,20.3696
1,14,ans_final,1.8957,57.1439,7.2166
1,14,ans_first,1.9006,57.0827,5.6443
1,14,cq,1.4199,59.5280,12.2732
1,14,ans_final,1.5753,59.9473,4.9930
1,14,ans_first,1.2318,60.2465,6.9448
1,14,cq,2.6764,72.0997,29.8750
1,14,ans_final,1.6735,72.3037,6.8465
1,14,ans_first,1.8550,72.3746,5.6725
1,14,cq,2.9894,75.9212,24.0866
1,14,ans_final,1.4726,76.3466,5.3531
1,15,ans_first,1.5278,5.8998,5.8998
1,15,cq,2.5487,29.4189,28.7617
1,15,ans_final,1.5786,29.8126,4.4904
1,15,ans_first,2.2095,30.2532,5.5849
1,15,cq,1.7532,48.0359,27.9044
1,15,ans_final,1.6564,48.3010,5.1163
1,15,ans_first,1.7021,48.6723,5.6973
1,15,cq,1.5333,52.9728,14.6053
1,15,ans_final,1.5403,53.1472,4.3631
1,15,ans_first,1.8602,53.2632,4.4140
1,15,cq,2.1062,68.5015,31.4092
1,15,ans_final,1.7383,68.6069,3.8012
1,15,ans_first,1.6199,68.8218,5.0578
1,15,cq,2.3408,82.4935,24.2189
1,15,ans_final,1.5751,82.8789,6.5395
1,15,ans_first,2.0592,83.0312,8.1837
1,15,cq,1.6557,90.5585,20.1559
1,15,ans_final,1.5665,90.6160,4.5213
